,TRACK_NAME,TRACK_ID
0,Racer,5N1Mtp3TcyGbnj0GAFSbg5
1,W.Y.G.D.T.N.S. (feat. ScHoolboy Q),7wwdta76VXZ80VVlJqvsRY
2,Mystery Lady,0bkTdkWwGk3OGFX0afD3Wj
3,Poppin,3wn8nOygkHLUQ9dlXM1rKW
4,James Harden,6agzog0YuvBYh3PAINo4JP
5,PAY ME,4WuQq8jo4ymfB8ZDNFFpFJ
6,Tearful,3MXFBPVkMuAwhkb6fRlwxI
7,No Idea - Dj Purpberry Chopped and Screwed,3PEwQ1uaMwg0ehoTeVm7Yq
8,V12 (feat. Lil Uzi Vert),3K1E9RAuMzC9g0ig3KsBBr
9,Playboy,45GDh5cZcRVOAyQqZWxiUt
10,Shanghai,4rPXtBJ4VzIB2dWQdzM08T
11,Juugrich,4dwdTA92SZbeJIDnW9eb6E
12,Real Steppers,1Kzma94Px6xjhjX74SXuMQ
13,Teen X Babe,1HYOCC0xTD7ym5oOmP5AKz
14,With You,6kq7CvFFZusechOUuuMftM
15,Chains,00ztpKJ1EEOf9WuLbAVrui
16,Losing My Mind,2JMW1iCKgPnSqbVVhHR6wI
17,Sweet Lady,6VBuV3fk37EGAqFbDVQjHv
18,LOYAL (feat. Drake),3LnJM1B5Mjgx5LfT9plXUU
19,Try Again,4mj4tLQRctxLPo67UWXy5C
20,RIP Luv,1wGnp7ejkCuXRsehXx0PNP
21,Up To Something (feat. Travis Scott & Young Thug),4RGacGFT2ztXhGgzeaYzIR
22,Taco Tuesday,2b1yiFEFZYuvlBnClvNJHP
23,To The Moon (feat. Young Thug),2AZAogRhW8j1RRNXwUIByh
24,RogerVille,7MtQOWR8M07vxHHEwKJlMo
25,First Place,5rSVQzJQ5nMUcFJDkJMfzL
26,Dangerous World (feat. Travis Scott & YG),4pM4yFNLj3pTiNXOZsWYxf
27,Ball Forever,3YEvtD0NBLP9fFmvKkrnJN
28,Fun Facts,67gp23IGWwgnJRVCELEevz
29,Silly Watch,5egD7A5x9AHdVO2fMo3Wbo
30,100 Shots,3TXy6nchgKeYlVwOKNk9lE
31,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE
32,Ion Rap Beef (Remix) [feat. Earl Sweatshirt & 03 Greedo],1VmiulucXYejQ40mwygOsR
33,War Baby,78X9D3v7OarDPNdTPUV4CQ
34,NASTY GIRL / ON CAMERA,2f8y4CuG57UJEmkG3ujd0D
35,In A Minute,3ihIZrJreMJPjQdNLrEXnP
36,Winnin,1VmCcOxARGs9Ybsz2hdTy6
37,B.B. King Freestyle (with Drake),6EW1fwOk4JHmTZKINZsyjB
38,Jump Off,0klK1UoYEp8n30EV80VdqO
39,Me or Sum (feat. Future & Lil Baby),2HHLfzE7PkljuqyYU4vwmh
40,Life Goes On,2bSk87AVkCIIC3Bcligq1z
41,Prada Tune,23slkWAmlcxi3XcSwC9RLZ
42,No Hago Coro - Remix,72VsmYY68ihcJuKNaIYT28
43,Not Your Speed,7AjZot2LL9EgJx1TBV1G3D
44,Darkest Before Dawn,4RIdKsqdglJ5JqTG8kTvw7
45,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",3Q5cLvkKsHJvYltf8k7HkO
46,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW
47,4 Out Of 4,4Lw7LO7K6pNvTSBEcH0JZZ
48,About You,0P9lyICk63dqZSqXV2HBP0
49,Drip Day N Night (feat. Gunna & Lil Keed),1II4ZWHzT56p9kH93LUWKK
50,Squidrific,0Z1CgKoZXoQYRiqyXhq9LV
51,Call Me If (Remix),1OrOiGKB335VxjXiOklg6n
52,For Me,0zouP0YotOdLd9PJQvMNs6
53,Set It Off,6Efmq0wDgijxWFdBkzIOvb
54,LOW KEY (feat. Lil Uzi Vert),3bt1KU5R6EGaKpTwhp77xd
55,Bleed,5XzombolzpiaOSTdj1W0VS
56,Bajen Pa' Aca,06jBPN4e0o1flRVWjHO6fX
57,We Ball,5dv4YSgkpflUQ31vIW9qXg
58,Dior (with Gunna) - Remix,5R9k9x85lAYbamdUoKAJvj
59,Broke In A Minute,4xqIYGwwZTEem9U8A42SPF
60,Leave Me Alone,6V7g6qM8wheMivMWrzbPTM
61,"ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)",3vqELgIl8luh8eRzQ2ZfvT
62,Blue Cheese Salad,29HTrWOSmhWUie6QldyrkE
63,Turban,4aMxs74PXoQg2SLgjypcvb
64,FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ
65,Penguins,26v2Gf4Af7Fav0jTQluetL
66,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U
67,Best You Had,4k7dYdLGhJuUjaeEQB5hcA
68,Blame,6S5dMjMifQYmyTu1mX4f8P
69,Guilty Conscience,0smgkpVia3VCXgY4qhVJvp
70,Super Gremlin,1Y5Jvi3eLi4Chwqch9GMem
71,Drip Keep Going,1z7JrxRNrAqhpIQSG6JCuE
72,Purity (feat. Frank Ocean),2MF4HtZHBoUliOi9nOAbS0
