,TITLE,TRACK_ID,ALBUM,PRIMARY_ARTIST,PRIMARY_ARTIST_ID,ALL_ARTISTS,TEMPO_(BPM),LOUDNESS_(db),DURATION_(ms),ACOUSTICNESS,DANCEABILITY,ENERGY,INSTRUMENTALNESS,INSTRUMENTAL_PREDICT,LIVENESS,VALENCE,VALENCE_PREDICT,POPULARITY_SCALE,GENRE,RELATED_ARTISTS,SPOTIFY_URL,ARTWORK_URL
39,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,['Travis Scott'],76.469,-8.764,175721,0.0546,0.598,0.427,5.83e-06,Vocal,0.21,0.0605,Negative,81,"['hip hop', 'rap', 'slap house']","['A$AP Rocky', 'A$AP Ferg', 'Chief Keef', 'A$AP Mob', 'Joey Bada$$', 'Huncho Jack', 'Pusha T', 'ScHoolboy Q', 'Meek Mill', 'Chance the Rapper', 'Playboi Carti', 'Young Nudy', 'Quavo', 'Flatbush Zombies', '2 Chainz', 'Migos', 'Earl Sweatshirt', 'Childish Gambino', 'Kendrick Lamar', 'Vince Staples']",https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b
45,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,Too Hard,Lil Baby,5f7VJjfbwm532GiveGC0ZK,['Lil Baby'],119.996,-5.426,162053,0.217,0.877,0.517,0.0,Vocal,0.143,0.255,Negative,80,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/5BbdKBZO0TH0GhfxUfyhL9,https://i.scdn.co/image/ab67616d0000b2735067cc9332e2fdc69ea7b7a9
29,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['Juice WRLD', 'YoungBoy Never Broke Again']",180.051,-5.884,189323,0.0687,0.474,0.631,0.0,Vocal,0.132,0.425,Negative,75,"['chicago rap', 'melodic rap']","['NAV', 'Comethazine', 'Lil Yachty', 'Lil Tecca', 'Lil Mosey', 'Kodak Black', 'Trippie Redd', 'Lil Gnar', 'YNW Melly', 'YBN Nahmir', 'Blueface', 'Lil Pump', 'Flipp Dinero', 'Tay-K', 'Famous Dex', '6ix9ine', 'DaBaby', 'Lil Uzi Vert', '21 Savage', 'Yung Pinch']",https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,https://i.scdn.co/image/ab67616d0000b2735b4bee4c0dfe7f1ec4b2cc6d
20,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,SAVAGE MODE II,21 Savage,1URnnhqYAYcrqrcwql10ft,"['21 Savage', 'Metro Boomin']",130.029,-6.439,193591,0.00574,0.847,0.733,1.04e-05,Vocal,0.151,0.202,Negative,74,"['atl hip hop', 'rap', 'trap']","['Quavo', 'Young Thug', 'Gunna', 'Huncho Jack', 'Metro Boomin', 'Sheck Wes', 'Don Toliver', 'Lil Baby', 'Lil Keed', 'Lil Yachty', 'Trippie Redd', 'A$AP Mob', 'Migos', 'Lil Uzi Vert', 'NAV', '88GLAM', 'Young Nudy', 'Flipp Dinero', 'YG', 'Playboi Carti']",https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k,https://i.scdn.co/image/ab67616d0000b273aa57907bf0cb2ca0c8cc74bc
31,Hellcats & Trackhawks,53tv6ZbyeAwfAUwFaxYbfO,Only The Family - Lil Durk Presents: Loyal Bros,Only The Family,3IaKn0ExWTMPqa0mscUYw3,"['Only The Family', 'Lil Durk']",157.026,-5.557,146845,0.0122,0.841,0.672,0.0,Vocal,0.321,0.599,Positive,71,"['chicago rap', 'rap', 'southern hip hop', 'trap']","['Doodie Lo', 'Booka600', 'Lil Zay Osama', 'Foolio', 'Chris Brickley', 'BIG30', 'Lil Jairmy', 'Icewear Vezzo', 'PGF Nuk', 'Young Pappy', 'FBG Duck', 'Jackboy', 'EST Gee', 'Funk Flex', 'Muwop', 'Yungeen Ace', 'Lud Foe', 'BigKayBeezy', 'Fredo Bang', 'Slimelife Shawty']",https://open.spotify.com/track/53tv6ZbyeAwfAUwFaxYbfO,https://i.scdn.co/image/ab67616d0000b2735a150b940ef099e9bea28c55
41,Dëserve it,14p60PiibNloesz8pDovLI,Up 2 Më,Yeat,3qiHUAX7zY4Qnjx8TNUzVx,['Yeat'],75.944,-9.341,110602,0.0786,0.707,0.6,0.0,Vocal,0.325,0.598,Positive,69,['pluggnb'],"['Ken Carson', 'KANKAN', 'Autumn!', 'Summrs', 'LUCKI', 'tana', 'Destroy Lonely', 'SoFaygo', 'KA$HDAMI', 'Pi’erre Bourne', 'SSGKobe', 'Sided', 'iayze', 'D. Savage', 'UnoTheActivist', 'BabyTron', 'SeptembersRich', 'Duwap Kaine', 'Young Nudy', 'Cochise']",https://open.spotify.com/track/14p60PiibNloesz8pDovLI,https://i.scdn.co/image/ab67616d0000b273b20fdc3ee4c262693cfdf005
10,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,Lil Baby,5f7VJjfbwm532GiveGC0ZK,['Lil Baby'],96.459,-5.756,252729,0.0127,0.59,0.618,0.0,Vocal,0.244,0.153,Negative,69,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,https://i.scdn.co/image/ab67616d0000b273c0ee50f512295c64a2c8af3d
9,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,My Turn,Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['Lil Baby', 'Lil Uzi Vert']",120.998,-8.637,214215,0.048,0.892,0.486,0.0,Vocal,0.146,0.535,Positive,68,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89
19,WHAT TO DO? (feat. Don Toliver),4AO1XhrgJczQ9bNVxdfKQe,JACKBOYS,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,"['JACKBOYS', 'Travis Scott', 'Don Toliver']",118.037,-5.191,250142,0.0695,0.643,0.594,1.46e-05,Vocal,0.115,0.195,Negative,67,"['rap', 'trap']","['Offset', 'Huncho Jack', 'Metro Boomin', 'Sheck Wes', 'Quavo', 'Don Toliver', 'Young Stoner Life', 'A$AP Mob', 'Smokepurpp', 'Pi’erre Bourne', 'Quality Control', 'Rich The Kid', 'Takeoff', 'Famous Dex', 'Lil Keed', 'NAV', 'Lil Yachty', 'Mustard', 'Swae Lee', '88GLAM']",https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f
18,Wicked Freestyle,4xl69qYIDxUIACXSeRkXOY,Who is Nardo Wick?,Nardo Wick,0Njy6yR9LykNKYg9yE23QN,['Nardo Wick'],149.046,-9.561,167627,0.00277,0.661,0.511,0.0,Vocal,0.608,0.4,Negative,67,"['florida rap', 'rap', 'trap']","['Only The Family', 'SleazyWorld Go', 'EST Gee', 'BIG30', 'PGF Nuk', 'Big Scarr', 'Pooh Shiesty', 'Quin Nfn', 'Lil Double 0', 'Doe Boy', 'Icewear Vezzo', 'Hotboii', 'G Herbo', '42 Dugg', 'Never Broke Again', 'Babyface Ray', '22Gz', 'SpotemGottem', 'Baby Smoove', 'Lil Zay Osama']",https://open.spotify.com/track/4xl69qYIDxUIACXSeRkXOY,https://i.scdn.co/image/ab67616d0000b27304791a385c035c1642c80b8f
